Cod Partener,Beneficiar,categorie_contaminata,expunere_mil_lei,contragarantii,scor_serv_datorie,are_restante_peste_30_zile,total_incidente,total_incidente_majore,Este_in_interdictie,A_fost_interdictie,scor_serv_prel,mean_encode_categ_contaminata_1Y,prob_1Y_CRC,prob_1Y_no_crc,prob_1Y,stage,data_raport
40507658,DANUBE CATERING SRL,instiintare_neplata,0.0077291999999999994,0,NA,NA,0,0,0,0,NA,0.0478609998605216,NA,0.09259364048154214,0.09259364048154214,1,2021-10-31
40513714,GB TENNIS TEAM SRL,standard,0.11026263,0,0.5,0,0,0,0,0,0.5,0.923187279574391,0.018882129626792716,0.020335761674260905,0.018882129626792716,1,2021-10-31
40513722,EDUSPORT CENTER SRL,standard,0.10909628,0,0.5,0,0,0,0,0,0.5,0.923187279574391,0.01888145358945446,0.02032416859018754,0.01888145358945446,1,2021-10-31
40513820,ADE SHINE SOLUTIONS SRL,standard,0.10096536,0,0.5,0,0,0,0,0,0.5,0.923187279574391,0.01887674142219723,0.020243529909396187,0.01887674142219723,1,2021-10-31
40514671,PATISIM NUMBER ONE SRL,standard,3.0620999999999996e-4,0,NA,NA,0,0,0,0,NA,0.923187279574391,NA,0.01927082859882299,0.01927082859882299,1,2021-10-31
40514787,CORCHES CAR WASH SRL,instiintare_neplata,0.0064,3840,NA,NA,0,0,0,0,NA,0.0478609998605216,NA,0.0925379206767941,0.0925379206767941,1,2021-10-31
40516672,GLASS ART KRAFT S.R.L.,standard,0.06392354,0,NA,NA,0,0,0,0,NA,0.923187279574391,NA,0.0198801144663008,0.0198801144663008,1,2021-10-31
40517910,BRUTARIA CRISTI SRL,standard,0.08313941999999999,0,NA,NA,0,0,0,0,NA,0.923187279574391,NA,0.020067835484071178,0.020067835484071178,1,2021-10-31
40518061,SOFIA KMG E&C S.R.L.,instiintare_neplata,0.14660754999999998,0,NA,NA,0,0,0,0,NA,0.0478609998605216,NA,0.09858371031079034,0.09858371031079034,2,2021-10-31
40521490,VAL ALEXANDROS PROD SRL,standard,0.08,0,0.5,0,0,0,0,0,0.5,0.923187279574391,0.018864596545251508,0.020037048079322033,0.018864596545251508,1,2021-10-31
40523297,LYLY & F.S.M. SERVICE SRL,standard,0.06617144,39702.852,0.5,0,0,0,0,0,0.5,0.923187279574391,0.018856590090098484,0.019901985164594464,0.018856590090098484,1,2021-10-31
40523793,ARABICA PIZZA & BAR SRL,standard,0.06782063,0,NA,NA,0,0,0,0,NA,0.923187279574391,NA,0.01991804576819505,0.01991804576819505,1,2021-10-31
40525417,BIO REAL FOOD SRL,standard,0.08858163000000001,0,NA,NA,0,0,0,0,NA,0.923187279574391,NA,0.020121315519673517,0.020121315519673517,1,2021-10-31
40526447,ADINUSH EXPRESS SRL,standard,0.05051339,30308.046,0.5,0,0,0,0,0,0.5,0.923187279574391,0.01884752842069632,0.01975013028270346,0.01884752842069632,1,2021-10-31
40530235,GLOBAL LIGHT&SOUND SYSTEMS SRL,instiintare_neplata,0.148736,0,0.15,1,0,0,0,0,0.15,0.0478609998605216,0.22328057057735526,0.09867814527898795,0.22328057057735526,2,2021-10-31
40533533,TALESCOPICA SRL,standard,0.08734772,52408.626,0.5,0,0,0,0,0,0.5,0.923187279574391,0.01886885208213291,0.02010917778950707,0.01886885208213291,1,2021-10-31
40535119,EDI MAGIC CLEAN SRL,standard,0.079744399999999993,0,0.5,0,0,0,0,0,0.5,0.923187279574391,0.018864448527807467,0.020034543520114075,0.018864448527807467,1,2021-10-31
40536050,RB WOOD TAILORING SRL,standard,0.10666668,63999.996,0.5,0,0,0,0,0,0.5,0.923187279574391,0.018880045426030015,0.02030004005071242,0.018880045426030015,1,2021-10-31
40539854,ASTOLB AVERA SRL,standard,0.03181104,0,0.5,0,0,0,0,0,0.5,0.923187279574391,0.018836710542881805,0.019570238600116894,0.018836710542881805,1,2021-10-31
40539951,MEDICALO CONTACT CENTER SRL,standard,0.02810995,0,0.5,0,0,0,0,0,0.5,0.923187279574391,0.018834570467573336,0.0195348298532039,0.018834570467573336,1,2021-10-31
40541390,ALEXANDRA BONAVENTURA SRL,instiintare_neplata,0.16548942000000003,0,0.25,0,0,0,0,0,0.5,0.0478609998605216,0.04367204499493099,0.09942427641478173,0.04367204499493099,2,2021-10-31
40547229,TINA CATERING CONCEPT SRL,standard,0.10909514999999999,65457.084,0.5,0,0,0,0,0,0.5,0.923187279574391,0.01888145293449774,0.020324157361547652,0.01888145293449774,1,2021-10-31
40548186,ZENIUM TECH SRL,standard,0.06445716,0,0.5,0,0,0,0,0,0.5,0.923187279574391,0.018855597789037414,0.019885304131662406,0.018855597789037414,1,2021-10-31
40548283,LIOREC TRADE SRL,standard,0.074478,0,0.5,0,0,0,0,0,0.5,0.923187279574391,0.01886139901970198,0.019983007609847912,0.01886139901970198,1,2021-10-31
40549904,EFES DAVID SRL,standard,0.0042124499999999995,0,NA,NA,0,0,0,0,NA,0.923187279574391,NA,0.01930770674707147,0.01930770674707147,1,2021-10-31
40550003,DELEMN SERV SRL,standard,0.051408,0,0.5,0,0,0,0,0,0.5,0.923187279574391,0.018848046036777,0.019758775726132258,0.018848046036777,1,2021-10-31
40552497,ANAVLAD EVENTS 2019 S.R.L.,standard,0.05252823,0,NA,NA,0,0,0,0,NA,0.923187279574391,NA,0.0197696067732359,0.0197696067732359,1,2021-10-31
40554064,ALB STIHAR SRL,standard,0.0685173,0,0.5,0,0,0,0,0,0.5,0.923187279574391,0.018857948060587455,0.019924834089108813,0.018857948060587455,1,2021-10-31
40554293,STELEXPRES AUTO SRL,standard,0.10666668,63999.996,0.5,0,0,0,0,0,0.5,0.923187279574391,0.018880045426030015,0.02030004005071242,0.018880045426030015,1,2021-10-31
40554560,VEGAN SMART SRL,instiintare_neplata,0.1422144,0,0.1,1,0,0,0,0,0.1,0.0478609998605216,0.27210697187868144,0.09838904972922065,0.27210697187868144,2,2021-10-31
40555850,ALEX BON CAFE SRL,standard,0.07865962,47195.772,0.5,0,0,0,0,0,0.5,0.923187279574391,0.018863820346574595,0.020023917449674897,0.018863820346574595,1,2021-10-31
40556634,VASEA AUTO SERV SRL,instiintare_neplata,0.14982226,0,NA,NA,0,0,0,0,NA,0.0478609998605216,NA,0.09872637145171059,0.09872637145171059,2,2021-10-31
40559053,MARDAV CONCEPT SRL,standard,0.027086779999999998,0,0.5,0,0,0,0,0,0.5,0.923187279574391,0.01883397888370901,0.01952505215335773,0.01883397888370901,1,2021-10-31
40559347,SOLUTION METAL 550 SRL,instiintare_neplata,0.14539552,0,0.25,0,0,0,0,0,0.5,0.0478609998605216,0.04364579511761965,0.09852997099589512,0.04364579511761965,2,2021-10-31
40561819,CREATIVE PAPER STUDIO S.R.L.,standard,0.0055419399999999995,0,NA,NA,0,0,0,0,NA,0.923187279574391,NA,0.019320274009828307,0.019320274009828307,1,2021-10-31
40562890,LIGHT CAMERA ACTION SRL,standard,0.06857144,0,0.5,0,0,0,0,0,0.5,0.923187279574391,0.01885797940226111,0.019925361721717917,0.01885797940226111,1,2021-10-31
40563178,INNOVATION FASHION CONCEPT SRL,standard,0.07879199,0,0.5,0,0,0,0,0,0.5,0.923187279574391,0.018863896999128677,0.020025213797390834,0.018863896999128677,1,2021-10-31
40563240,STOICA VIOLET ELEGANT SRL,standard,0.05221416,0,0.5,0,0,0,0,0,0.5,0.923187279574391,0.018848512488151056,0.019766569571739646,0.018848512488151056,1,2021-10-31
40565012,CRYPTO NETWORK SRL,standard,0.06857106,41142.654,0.5,0,0,0,0,0,0.5,0.923187279574391,0.018857979182278738,0.019925358018301344,0.018857979182278738,1,2021-10-31
40570531,BLD GORGIE GIRLS SRL,instiintare_neplata,0.1568,0,0.15,1,0,0,0,0,0.15,0.0478609998605216,0.22332433016242198,0.09903665955077674,0.22332433016242198,2,2021-10-31
40571570,PETROTEX JUNIOR SRL,standard,0.08859208,0,0.5,0,0,0,0,0,0.5,0.923187279574391,0.018869572864202534,0.02012141834490692,0.018869572864202534,1,2021-10-31
40571880,DR COOLING SERVICE SRL,instiintare_neplata,0.1186077,0,0.15,1,0,0,0,0,0.15,0.0478609998605216,0.22311713233628366,0.09734889039107422,0.22311713233628366,2,2021-10-31
40572753,TWB IRIDON FITNESS SRL,standard,0.07223332,43340.004,0.5,0,0,0,0,0,0.5,0.923187279574391,0.018860099385054906,0.01996108112437105,0.018860099385054906,1,2021-10-31
40572761,BROTHERS FITNESS SRL,standard,0.073875,0,0.5,0,0,0,0,0,0.5,0.923187279574391,0.018861049883495545,0.01997711506790171,0.018861049883495545,1,2021-10-31
40583647,TOMIS REALITY WASH SRL,standard,0.06565713000000001,0,0.5,0,0,0,0,0,0.5,0.923187279574391,0.018856292379352334,0.01989697916275274,0.018856292379352334,1,2021-10-31
40584758,URSOIU IMPEX 2019 SRL,standard,0.04758258,0,0.5,0,0,0,0,0,0.5,0.923187279574391,0.018845832768933094,0.019721833110867924,0.018845832768933094,1,2021-10-31
40585729,TDN SUD ESTATE SRL,standard,1.92,0,0.5,0,0,0,0,0,0.5,0.923187279574391,0.019960184940686975,0.04872274777330841,0.019960184940686975,1,2021-10-31
40585907,SPIRIT LIBER SRL,standard,0.03193584,0,0.5,0,0,0,0,0,0.5,0.923187279574391,0.01883678270994124,0.019571433671459013,0.01883678270994124,1,2021-10-31
40585974,ARDEAL PASTA SRL,standard,0.025097759999999997,0,0.5,0,0,0,0,0,0.5,0.923187279574391,0.01883282890982407,0.019506058243153875,0.01883282890982407,1,2021-10-31
40586040,TUDIC IMOBILE PRO SRL,standard,0.0027428400000000003,0,NA,NA,0,0,0,0,NA,0.923187279574391,NA,0.019293824297772533,0.019293824297772533,1,2021-10-31
40590040,METALMAT COMPANY SRL,standard,0.10649706,0,0.5,0,0,0,0,0,0.5,0.923187279574391,0.01887994712040988,0.020298356589736274,0.01887994712040988,1,2021-10-31
40590245,TEE FOOT EVENTS SRL,standard,0.079999990000000007,0,NA,NA,0,0,0,0,NA,0.923187279574391,NA,0.020037047981328576,0.020037047981328576,1,2021-10-31
40590636,ROPRE URL SRL,instiintare_neplata,0.156,0,0.15,1,0,0,0,0,0.15,0.0478609998605216,0.2233199886607401,0.09900104092073367,0.2233199886607401,2,2021-10-31
40591992,BONTON SERV SRL,standard,0.07878003,47268,0.5,0,0,0,0,0,0.5,0.923187279574391,0.018863890073343315,0.020025096665367934,0.018863890073343315,1,2021-10-31
40592211,VERGTRIX DEVELOPMENT SRL,standard,0.06808183999999999,40849.092,NA,NA,0,0,0,0,NA,0.923187279574391,NA,0.01992059072105741,0.01992059072105741,1,2021-10-31
40592351,MARITEX CONSULTING SRL,standard,0.11601665,69609.996,0.5,0,0,0,0,0,0.5,0.923187279574391,0.018885465107239145,0.02039304932648394,0.018885465107239145,1,2021-10-31
40596957,AVRIGEANU CARM SRL,standard,0.0480626,0,NA,NA,0,0,0,0,NA,0.923187279574391,NA,0.019726465014929962,0.019726465014929962,1,2021-10-31
40597154,JUNGLE HOUSE SRL,standard,0.11428572000000001,68571.438,0.5,0,0,0,0,0,0.5,0.923187279574391,0.01888446166393933,0.02037579939961652,0.01888446166393933,1,2021-10-31
40597677,L&D PAVAJE 1999 SRL,standard,0.0075,0,NA,NA,0,0,0,0,NA,0.923187279574391,NA,0.01933879755579989,0.01933879755579989,1,2021-10-31
40598753,RSA CASA ELY CENTRUM SRL,instiintare_neplata,0.00502366,0,NA,NA,0,0,0,0,NA,0.0478609998605216,NA,0.09248025650611227,0.09248025650611227,1,2021-10-31
40598826,GOMBOS CAR CLEAN SRL,standard,0.061556559999999996,0,0.5,0,0,0,0,0,0.5,0.923187279574391,0.018853918910146816,0.019857110642956973,0.018853918910146816,1,2021-10-31
40599872,STEFANESTI GAB SRL,cerere_plata,0.12070452000000001,72422.712,0,1,0,0,0,0,0,0,0.39850708220701414,0.1056355741870615,0.39850708220701414,3,2021-10-31
40602552,OSTAFI RODENTAL SRL,standard,0.06717636,0,0.5,0,0,0,0,0,0.5,0.923187279574391,0.018857171806039037,0.01991177004707342,0.018857171806039037,1,2021-10-31
